author,author_link,date,title
Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,"May 10, 2022","Kubernetes Basics: Clusters, Pods, and Nodes"
Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,"April 14, 2022",A Primer on Cloud Architecture
Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,"February 08, 2022",Distributed Monoliths vs. Microservices: Which Are You Building?
Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,"February 10, 2022",Canary Testing - What It Is And Why You Should Use It
Dave Anderson,https://scoutapm.com/blog/author/dave-anderson,"February 02, 2022",Configuring OpenTelemetry in Ruby
Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,"August 11, 2022",Alerting: A Key Part of Application Performance Monitoring
Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,"March 29, 2022",Getting Started with Prometheus and Grafana
Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,"January 25, 2022",The Business Case for Docker Adoption
Gautam Prajapati,https://scoutapm.com/blog/author/gautam-prajapati,"April 16, 2022",A Comprehensive Guide to Migrating from Python 2 to Python 3
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,"March 19, 2022",How to Manage Ruby Memory Usage
Dave Anderson,https://scoutapm.com/blog/author/dave-anderson,"February 02, 2022",What is OpenTelemetry and Why is Scout All In?
Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,"October 28, 2021",Prometheus Architecture Explained
Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,"November 16, 2021",.NET Core vs. .NET Framework: Side-by-Side Comparison
Dave Anderson,https://scoutapm.com/blog/author/dave-anderson,"March 07, 2022",OpenTelemetry and Distributed Tracing in JavaScript
Scout APM ,https://scoutapm.com/blog/author/scout-apm,"April 05, 2022",What is Cloud-Native Monitoring?
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"November 16, 2021",Monolithic vs. Microservices Architecture: A Side-by-Side Comparison
Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,"December 16, 2021",Express vs. Hapi: A Head-to-Head Comparison
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,"January 13, 2022",How to Use the Delegate Method in Rails
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,"January 19, 2022",SOA vs. Microservices: A Head-to-Head Comparison
Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,"January 20, 2022",End-User Monitoring: How it Can Impact Your Business
Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,"January 06, 2022",Azure vs. AWS vs. GCP: A Direct Comparison
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"September 07, 2021",Node.js Module Exports Explained
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"September 23, 2021",How to Use Ruby BEGIN and END Blocks
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"September 27, 2021",Ruby Flip Flop: What It Is and When to Use It
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"December 07, 2021",Encapsulation in OOP: Definition and Examples
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,"October 12, 2021",A Developer’s Guide to Web Application Architecture
Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,"October 05, 2021",Monitoring Kubernetes with Prometheus
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"September 16, 2021",PHP Handlers | Why They Matter
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,"October 14, 2021",A Primer on Prometheus Metrics
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,"October 21, 2021",The Developer’s Guide to SOLID Design Principles
Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,"July 06, 2021",Premature Optimization: Root of All Evil or Rationalization?
Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,"October 27, 2021",What are Script Errors and How Can We Address Them?
Arwin Lashawn,https://scoutapm.com/blog/author/arwin-lashawn,"October 19, 2021",What is Full Cycle Software Development?
Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,"July 15, 2021",A Comprehensive Cloud Migration Checklist
Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,"July 20, 2021",What is Agile Methodology and How Does it Work?
Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,"July 08, 2021",What is Prometheus? The Essential Guide
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"July 29, 2021",Logging and Monitoring: A Match Made in Software Heaven
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"August 03, 2021",Getting Started with Docker: A Tutorial
Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,"August 05, 2021",8 Dynatrace Alternatives to Consider in 2021
Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,"August 17, 2021",Dynatrace vs. SolarWinds vs. Scout
Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,"July 13, 2021",What is SDLC? An Intro to the Software Development Lifecycle
Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,"March 25, 2021",How to Create a Ruby Function on AWS Lambda
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"August 12, 2021",How to Retry in Ruby
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"March 30, 2021",PHP vs. Python: Is One Better Than The Other?
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"April 29, 2021",A Guide to Error Handling in Express.js
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,"May 04, 2021",Kubernetes: Weighing Advantages and Disadvantages
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"May 06, 2021",The Essential Guide to PHP Error Logging
Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,"April 13, 2021",Should You Use Rails Concerns?
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"May 25, 2021",A Guide to Application Monitoring Best Practices
Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,"May 18, 2021",Alternatives to Using GitHub in 2021
Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,"February 02, 2021",3 Ways to Reuse Twig Templates in Symfony
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,"May 11, 2021",Concrete Steps to Reducing MTTR
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,"June 01, 2021",How to Optimize Docker Performance
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,"February 16, 2021",15 Tips for Better Python Performance
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"February 09, 2021",How to Steer Clear of Application Performance Bottlenecks
Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,"February 04, 2021",The Complete Guide to Microservices
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,"March 02, 2021",The State of Ruby on Rails in 2021
Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,"March 04, 2021",Functional vs. Procedural vs. Object-Oriented Programming
Arwin Lashawn,https://scoutapm.com/blog/author/arwin-lashawn,"March 09, 2021",Comparing Top Container Software Options for 2021
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"March 16, 2021",What is a Docker Container?
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,"March 11, 2021",30 World-Class JS and Node.JS Developers to Follow in 2021
Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,"February 23, 2021",Container Monitoring: Essential Tools + Best Practices
Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,"December 17, 2020",Setting Up TailwindCSS on Laravel
Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,"December 22, 2020","The Top Features of Eloquent, Laravel’s ORM"
Emmanuel Christian,https://scoutapm.com/blog/author/emmanuel-christian,"December 28, 2020",How To Detect and Prevent Memory Leaks
Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,"January 13, 2021",How to Identify and Debug Memory Bloat
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,"January 15, 2021",Types in Ruby 3: New Features Explained
Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,"January 19, 2021",How Common Application Issues Kill Performance
Arwin Lashawn,https://scoutapm.com/blog/author/arwin-lashawn,"January 21, 2021",Set up a CI/CD Pipeline with Cloud-Native Tools
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,"January 26, 2021",Ractor: Ruby’s Version of the Actor Model
Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,"January 28, 2021",8 Crucial Database Performance Metrics
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,"October 22, 2020",Containers vs. VMs: Which Should You Use?
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"October 27, 2020",The 9 Most Popular PHP Frameworks for Developers
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,"December 30, 2020",How (and Why) to Use Ruby Enumerators
Pawel Urbanek,https://scoutapm.com/blog/author/pawel-urbanek,"November 03, 2020",Performance Impact of Using Ruby on Rails View Partials
Sarmad Saleem,https://scoutapm.com/blog/author/sarmad-saleem,"October 29, 2020",Container Orchestration Tools Explained
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,"December 09, 2020",Latest Ruby Versions Updated in Real Time
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"November 10, 2020",Python Garbage Collection: A Guide for Developers
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,"December 12, 2020",A Primer on Ruby Yield and Blocks
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,"December 15, 2020",A Guide to Using Nested Routes in Ruby
Arwin Lashawn,https://scoutapm.com/blog/author/arwin-lashawn,"December 04, 2020",Python Memory Management: The Essential Guide
Sarmad Saleem,https://scoutapm.com/blog/author/sarmad-saleem,"November 17, 2020",How to Monitor Kubernetes Applications
Jeremy Hillpot,https://scoutapm.com/blog/author/jeremy-hillpot,"September 04, 2020",Kubernetes vs. Docker
David Tidmarsh,https://scoutapm.com/blog/author/david-tidmarsh,"September 02, 2020",Serverless vs. Containers: Key Differences Explained
Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,"September 15, 2020",Finding and Fixing N+1 Queries
Emmanuel Christian,https://scoutapm.com/blog/author/emmanuel-christian,"September 22, 2020",How Containerized Applications Increase Speed & Efficiency
Jake Stinson,https://scoutapm.com/blog/author/jake-stinson,"October 06, 2020",Log Analysis: What Is It and How Does It Work?
Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,"October 08, 2020",How to Use Docker’s Health Check Command
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"October 14, 2020",Asynchronous Javascript: From Promises to Async/Await
Matt Sanders,https://scoutapm.com/blog/author/matt-sanders,"September 29, 2020",Application Performance Monitoring - What is APM?
Arwin Lashawn,https://scoutapm.com/blog/author/arwin-lashawn,"October 20, 2020",Continuous Integration vs. Continuous Deployment
Sarmad Saleem,https://scoutapm.com/blog/author/sarmad-saleem,"September 15, 2020",An Introduction to Kubernetes and Its Uses
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"June 11, 2020",How to Convert a String to a Number in PHP
Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,"December 14, 2021","How to Find, Fix, and Prevent Node.js Memory Leaks"
Matt Sanders,https://scoutapm.com/blog/author/matt-sanders,"July 02, 2020",The Most Popular Python Web Frameworks in 2021
Adam Johnson,https://scoutapm.com/blog/author/adam-johnson,"June 19, 2020",Better Python Decorators with Wrapt
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"June 25, 2020",How to Enable PHP Error Reporting
Matthew Thompson,https://scoutapm.com/blog/author/matthew-thompson,"May 29, 2020","PHP Memory Leaks, How to Find and Fix Them"
Adam Johnson,https://scoutapm.com/blog/author/adam-johnson,"July 24, 2020",A Guide to Python Lambda Functions
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"July 09, 2020",How to Create a Python Stack
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"August 07, 2020",Node.js Logging: A How-to Guide
PJ Hagerty,https://scoutapm.com/blog/author/pj-hagerty,"March 17, 2020",Programmatically Adding Laravel Middleware
Gautam Prajapati,https://scoutapm.com/blog/author/gautam-prajapati,"February 26, 2020",Migrating from Python 2 to 3: Automated Tools and Strategies
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"March 24, 2020",Tutorial: Log to Console in PHP
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"April 01, 2020",Go Fast: Getting Started with Sanic for Python
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"August 20, 2020",Node.js Architecture and 12 Best Practices for Node.js Development
David Tidmarsh,https://scoutapm.com/blog/author/david-tidmarsh,"April 08, 2020",Elixir GenServers: Overview and Tutorial
Dan Moore,https://scoutapm.com/blog/author/dan-moore,"April 23, 2020",How to Use Lambdas in Ruby
Dan Moore,https://scoutapm.com/blog/author/dan-moore,"May 07, 2020",Ruby Garbage Collection | Memory Management
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"July 17, 2020",How to Use PHP Include and Require Statements
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"May 14, 2020",Control Structures in PHP: Loop Types Explained
Thomas Finch,https://scoutapm.com/blog/author/thomas-finch,"May 22, 2020",A Tour of 7 Popular Ruby Frameworks in 2021
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"May 01, 2020",PHP Json_encode: Serialize PHP Objects to JSON
Derek Haynes,https://scoutapm.com/blog/author/derek-haynes,"September 27, 2019","Birds of a Fiber: A look at Falcon, a modern asynchronous web server for Ruby"
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"November 12, 2019",PHP Advanced Exceptions Tutorial
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"November 19, 2019",Exception Handling in Ruby
Pranam Lashkari,https://scoutapm.com/blog/author/pranam-lashkari,"November 25, 2019",Memory Management in Python
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"March 17, 2022",Proper Python Instrumentation: 5 Things to Keep In Mind
Tim Grossman,https://scoutapm.com/blog/author/tim-grossman,"November 25, 2019",Python Protocol Buffers
Gautam Prajapati,https://scoutapm.com/blog/author/gautam-prajapati,"November 29, 2019",A Comprehensive Guide to migrating from Python 2(Legacy) to Python 3
Satwik Kansal,https://scoutapm.com/blog/author/satwik-kansal,"January 24, 2020",Python vs. Java: Comparing Two Popular Programming Languages
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"February 04, 2020",Python Flask Tutorial - Getting Started with Flask
Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,"June 18, 2019",Understanding Heroku Error Codes with Scout APM
Satwik Kansal,https://scoutapm.com/blog/author/satwik-kansal,"January 06, 2020",Python vs. Ruby
Derek Haynes,https://scoutapm.com/blog/author/derek-haynes,"June 18, 2019","Making sense of ActiveRecord joins, includes, preload, and eager_load"
Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,"July 05, 2019",Continuous Deployment Tools
Erik Jacobsen,https://scoutapm.com/blog/author/erik-jacobsen,"June 10, 2019",Prometheus and Docker: Monitoring Your Environment
Minhajuddin Khaja,https://scoutapm.com/blog/author/minhajuddin-khaja,"June 17, 2019","How to use Mint, an awesome HTTP library for Elixir - Part 02"
Satwik Kansal,https://scoutapm.com/blog/author/satwik-kansal,"July 08, 2019",Identifying bottlenecks and optimizing performance in a Python codebase
Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,"July 19, 2019",Monitoring Apdex with Scout APM
Andre Lewis,https://scoutapm.com/blog/author/andre-lewis,"July 28, 2019",Understanding Linux CPU Load - when should you be worried?
Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,"July 09, 2019",What’s new in Rails 6?
Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,"June 05, 2019",Debugging with Rails Logger
Derek Haynes,https://scoutapm.com/blog/author/derek-haynes,"July 08, 2019",Unicorn vs. Puma vs. Passenger: which app server is right for you?
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"May 04, 2019",Rails::API vs. Sinatra vs. Grape: which Ruby microframework is right for you?
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"May 08, 2019",The danger of Rails.env.production?
Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,"May 24, 2019",Building Docker Containers for our Rails Apps
Andre Lewis,https://scoutapm.com/blog/author/andre-lewis,"May 16, 2019",Free memory on Linux: free -m vs /proc/meminfo
Minhajuddin Khaja,https://scoutapm.com/blog/author/minhajuddin-khaja,"May 15, 2019","How to use Mint, an awesome HTTP library for Elixir - Part 01"
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"June 05, 2019",Which Ruby background job framework is right for you?
Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,"May 20, 2019",8 Things You Should Know About Docker Containers
Derek Haynes,https://scoutapm.com/blog/author/derek-haynes,"June 03, 2019",Understanding Linux CPU stats
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"January 31, 2018",AWS Disaster Recovery: Configuring a Read Replica and a Multi-AZ
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"February 20, 2018",Deploying a Faktory worker to AWS Fargate
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"March 15, 2018","Setting up a Rails app for CodeBuild, CodeDeploy, and CodePipeline on AWS"
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"February 13, 2018",Deploying Faktory to AWS Fargate
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"May 24, 2018",Finding slow ActiveRecord queries with Scout
Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,"May 31, 2019",Container Orchestration in 2019
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"July 12, 2018",Part I: How not to structure your database-backed web apps
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"April 10, 2018",Why put Rust in our Python Monitoring agent?
Derek Haynes,https://scoutapm.com/blog/author/derek-haynes,"January 20, 2019",What you need to know about Ruby Interpreter
Derek Haynes,https://scoutapm.com/blog/author/derek-haynes,"April 17, 2019","Restricting Process CPU Usage Using nice, cpulimit, and cgroups"
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"December 20, 2018",Omnibus Tutorial: Package a standalone Ruby gem
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"January 02, 2018",Deploying to AWS Part I: Docker Rails Deployment
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"January 08, 2018",How to Deploy a Rails App to Amazon AWS Using Fargate (Part II)
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"January 10, 2018",Deploying to AWS Part III: Log aggregation
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"January 16, 2018",Deploying to AWS Part IV: Performance monitoring with Scout
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"January 16, 2018",A tour of Python monitoring tools
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"January 15, 2018",OpenTracing Tutorial: Using Flask Python Requests
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"December 30, 2017",Observability: the new wave or another buzzword?
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"January 19, 2018","Deploying to AWS Part V: the final punch list (load balancer, CDN, SSL)"
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"January 17, 2018",Tutorial: Distributed Tracing in Ruby with OpenTracing
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"January 26, 2018",AWS Disaster Recovery: an overview and a backups tutorial
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"September 25, 2014",From Ruby to Go: a rewrite for the future
Derek Haynes,https://scoutapm.com/blog/author/derek-haynes,"October 08, 2014",Understanding disk inodes
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"June 22, 2015",An intro to the Docker Stats API
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"December 09, 2015",4 ways to get the most out of your Rails logs
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"March 07, 2016",Java for Rubyists
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"April 12, 2016",3 Git Productivity Hacks
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"December 19, 2014",From MySQL full-text search to Elasticsearch
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"May 30, 2017",Monitoring GenServer calls with Scout
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"October 13, 2017",Visualizing Rails logs With Jupyter Notebook
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"December 08, 2016",Elixir foundations for Ruby Devs: transforming data
Andre Lewis,https://scoutapm.com/blog/author/andre-lewis,"August 19, 2010",MySQL Tuning Tips with Scout
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"October 06, 2010",Determining free memory on Linux
Andre Lewis,https://scoutapm.com/blog/author/andre-lewis,"September 07, 2010",RVM and cron in production
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"March 30, 2011",Detect and Fix HAProxy+Apache+Passenger Queue Backlogs
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,"April 19, 2022",Best PHP Monitoring Tools on the Market
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"September 15, 2010",Embedded Customer Support With Rapportive
Andre Lewis,https://scoutapm.com/blog/author/andre-lewis,"February 26, 2010",MongoDB Slow Queries Monitoring
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"September 24, 2013",From MySQL+MMM to MariaDB+Galera Cluster: A High Availability Makeover
Derek Haynes,https://scoutapm.com/blog/author/derek-haynes,"July 25, 2013",Understanding CPU Steal Time - when should you be worried?
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"August 28, 2013",Docker: Git for deployment
Andre Lewis,https://scoutapm.com/blog/author/andre-lewis,"May 10, 2011",The Short and Sweet SSL How-to
Andre Lewis,https://scoutapm.com/blog/author/andre-lewis,"February 01, 2010",Production Server Sysadmin Essentials
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,"September 13, 2019",Understanding page faults and memory swap-in/outs: when should you worry?
Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,"May 24, 2022",4 Best Practices for Root Cause Analysis
